Node Number	Equivalent (von-Mises) Stress (MPa)
821	13.773
822	13.516
823	13.244
824	12.962
825	12.668
826	12.349
827	12.025
828	11.694
829	11.372
830	11.071
831	10.797
832	10.542
833	7.4038
834	15.082
835	14.912
836	14.907
837	15.001
838	14.924
839	14.949
840	15.004
841	14.868
842	14.881
843	14.886
844	14.663
845	14.691
846	14.658
847	14.365
848	14.436
849	14.297
850	13.983
851	14.054
852	13.634
853	13.578
854	13.58
855	13.112
856	13.154
857	13.002
858	12.522
859	12.581
860	12.34
861	11.885
862	11.919
863	11.661
864	11.155
865	11.412
866	10.873
867	10.526
868	10.477
869	9.9394
870	9.6434
871	9.7462
872	9.1913
873	9.3529
874	8.8708
875	8.3121
876	8.8779
877	8.1955
878	8.159
879	7.9644
880	7.7791
881	7.0456
882	7.7833
883	6.2018
884	6.5688
885	7.2136
886	5.0553
887	5.9321
888	5.5573
889	3.8933
890	5.9372
891	6.6799
892	4.9394
893	4.9125
894	5.0747
895	5.4162
896	4.2331
897	4.8319
898	6.1088
899	5.3991
900	28.256
901	16.879
902	25.059
903	30.761
904	21.052
905	13.665
906	11.562
907	8.6496
908	6.5779
909	7.4574
910	6.5234
911	5.4092
912	5.903
913	5.4967
914	5.3653
915	5.0517
916	4.6336
917	4.3206
918	3.9413
919	3.5177
920	3.1996
921	2.8466
922	2.4691
923	2.1907
924	1.8926
925	1.5758
926	1.3536
927	1.1151
928	0.85506
929	0.65699
930	0.42918
931	0.18975
932	9.0041e-002
933	0.24347
934	0.44746
935	0.60936
936	0.77901
937	0.95784
938	1.096
939	1.2248
940	1.3753
941	1.4986
942	1.5955
943	1.7206
944	1.8184
945	1.8895
946	1.9872
947	2.0627
948	2.1099
949	2.186
950	2.2396
951	2.2722
952	2.3425
953	2.4067
954	2.456
955	2.5238
956	2.5823
957	2.6227
958	2.6777
959	2.7229
960	2.7491
961	2.788
962	2.8191
963	2.8313
964	2.8513
965	2.8722
966	2.867
967	2.8737
968	2.8793
969	2.8627
970	2.8696
971	2.882
972	2.8814
973	2.8897
974	2.8993
975	2.894
976	2.8943
977	2.8954
978	2.8771
979	2.866
980	2.8565
981	2.8245
982	2.7989
983	2.7761
984	2.7294
985	2.6969
986	2.6775
987	2.6483
988	2.6209
989	2.6018
990	2.574
991	2.5345
992	2.5085
993	2.4705
994	2.4209
995	2.3799
996	2.3277
997	2.2593
998	2.2016
999	2.1345
1000	2.0697
1001	2.0223
1002	1.97
1003	1.9112
1004	1.8585
1005	1.7984
1006	1.7282
1007	1.6629
1008	1.5862
1009	1.4944
1010	1.4085
1011	1.3083
1012	1.1934
1013	1.0872
1014	0.98966
1015	0.89024
1016	0.8063
1017	0.80589
1018	1.2102
1019	9.4034
1020	13.843
1021	9.6799
1022	9.7749
1023	10.354
1024	9.2331
1025	9.4457
1026	10.183
1027	9.681
1028	11.094
1029	11.081
1030	10.837
1031	10.931
1032	9.1927
1033	9.3641
1034	8.8936
1035	8.8427
1036	8.7729
1037	8.5582
1038	10.497
1039	11.276
1040	11.511
1041	11.809
1042	10.677
1043	10.883
1044	10.325
1045	9.56
1046	9.3449
1047	9.1881
1048	9.161
1049	8.8945
1050	9.4132
1051	9.2934
1052	9.5181
1053	9.7989
1054	9.007
1055	9.2436
1056	8.9051
1057	9.6295
1058	9.9789
1059	10.365
1060	9.7094
1061	9.5501
1062	12.614
1063	12.729
1064	11.688
1065	9.4475
1066	9.5301
1067	9.4097
1068	9.2795
1069	10.213
1070	9.992
1071	9.1789
1072	10.354
1073	9.5754
1074	9.1601
1075	8.3072
1076	7.4581
1077	9.0389
1078	8.4323
1079	9.8911
1080	11.03
1081	6.8956
1082	12.372
1083	10.156
1084	9.2681
1085	9.3641
1086	8.9107
1087	10.923
1088	11.534
1089	11.898
1090	8.7277
1091	9.0807
1092	9.5474
1093	11.687
1094	11.86
1095	11.514
1096	11.302
1097	11.038
1098	10.577
1099	10.662
1100	10.225
1101	10.436
1102	9.2669
1103	9.1263
1104	8.5493
1105	8.6436
1106	8.3519
1107	8.1359
1108	8.8312
1109	10.545
1110	10.439
1111	10.675
1112	11.242
1113	11.636
1114	12.85
1115	12.533
1116	12.02
1117	11.652
1118	11.332
1119	11.117
1120	10.898
1121	10.322
1122	10.516
1123	9.8813
1124	9.9907
1125	9.5517
1126	9.3444
1127	9.5751
1128	9.3129
1129	9.1367
1130	9.2062
1131	9.7825
1132	9.9235
1133	10.366
1134	10.274
1135	9.8983
1136	9.348
1137	8.8048
1138	8.656
1139	8.4958
1140	8.7233
1141	8.7483
1142	9.0498
1143	8.966
1144	9.4873
1145	9.6378
1146	10.56
1147	10.895
1148	13.313
1149	13.01
1150	13.1
1151	12.663
1152	12.528
1153	11.753
1154	9.9736
1155	9.0323
1156	8.7584
1157	6.0876
1158	5.2443
1159	5.684
1160	4.751
1161	3.6339
1162	2.4866
1163	3.0459
1164	0.96867
1165	0.94648
1166	2.2725
1167	7.1089
1168	13.203
1169	11.317
1170	10.412
1171	12.122
1172	4.7436
1173	9.0213
1174	13.087
1175	12.294
1176	11.676
1177	10.577
1178	13.159
1179	11.078
1180	7.9419
1181	8.5676
1182	10.709
1183	9.7995
1184	11.721
1185	11.01
1186	9.1963
1187	8.5448
1188	7.3112
1189	9.612
1190	9.8912
1191	5.387
1192	7.7543
1193	8.9844
1194	9.1884
1195	10.127
1196	12.49
1197	9.4254
1198	9.7799
1199	11.877
1200	6.2886
1201	2.4146
1202	2.5824
1203	0.98911
1204	0.54931
1205	3.1933
1206	2.6895
1207	4.242
1208	5.6236
1209	5.1899
1210	7.633
1211	12.426
1212	12.92
1213	12.64
1214	12.428
1215	12.661
1216	12.252
1217	11.983
1218	11.757
1219	11.248
1220	11.072
1221	11.134
1222	10.788
1223	10.38
1224	10.25
1225	9.1301
1226	8.8007
1227	8.8625
1228	8.0105
1229	8.1354
1230	7.9143
1231	6.4139
1232	7.5555
1233	8.3317
1234	8.5552
1235	8.4455
1236	10.632
1237	10.529
1238	10.851
1239	11.009
1240	11.349
1241	11.581
1242	11.978
1243	13.015
1244	12.66
1245	7.8744
1246	12.948
1247	11.981
1248	11.395
1249	11.217
1250	10.918
1251	10.713
1252	10.353
1253	9.985
1254	10.141
1255	9.4801
1256	9.6348
1257	9.2581
1258	9.1267
1259	9.2686
1260	8.996
1261	9.0165
1262	9.1429
1263	9.7597
1264	9.5802
1265	10.142
1266	9.9418
1267	10.366
1268	11.044
1269	11.141
1270	9.4424
1271	6.3281
1272	9.3671
1273	10.423
1274	11.483
1275	11.835
1276	11.033
1277	11.257
1278	10.102
1279	10.416
1280	9.2599
1281	8.3098
1282	8.0618
1283	8.1469
1284	8.2029
1285	8.3444
1286	8.2823
1287	8.9998
1288	8.9132
1289	8.9287
1290	9.1245
1291	9.4485
1292	9.2983
1293	11.976
1294	11.954
1295	13.625
1296	13.533
1297	13.272
1298	13.336
1299	12.938
1300	13.057
1301	12.801
1302	10.186
1303	9.2175
1304	8.9266
1305	7.5737
1306	6.2325
1307	5.4331
1308	5.8423
1309	4.6759
1310	5.0592
1311	3.6797
1312	2.544
1313	3.0616
1314	1.8705
1315	3.7857
1316	7.2098
1317	7.0934
1318	7.3284
1319	6.5833
1320	5.5418
1321	8.8565
1322	11.244
1323	9.4212
1324	8.2829
1325	11.511
1326	0.79111
1327	1.3247
1328	9.3252
1329	10.506
1330	13.759
1331	13.896
1332	13.529
1333	12.214
1334	12.702
1335	11.2
1336	9.7632
1337	6.5852
1338	7.9499
1339	8.8977
1340	9.3654
1341	8.944
1342	10.341
1343	9.8601
1344	12.813
1345	12.954
1346	13.571
1347	7.7322
1348	4.9967
1349	15.49
1350	15.665
1351	15.522
1352	15.592
1353	15.853
1354	9.4904
1355	8.3665
1356	8.1628
1357	7.5961
1358	13.843
1359	11.735
1360	3.9068
1361	4.1826
1362	3.4042
1363	0.58658
1364	0.38713
1365	4.7822
1366	4.8978
1367	8.5257
1368	1.2906
1369	1.3564
1370	1.0501
1371	1.1764
1372	0.77175
1373	0.90856
1374	0.61089
1375	0.62285
1376	0.65408
1377	0.59543
1378	0.72004
1379	0.56174
1380	0.70043
1381	0.70099
1382	0.70529
1383	0.71355
1384	0.81494
1385	0.7262
1386	0.81
1387	0.81957
1388	0.8739
1389	0.96869
1390	0.94763
1391	1.0502
1392	1.0056
1393	1.0697
1394	1.1538
1395	1.1775
1396	1.3376
1397	1.4655
1398	1.4182
1399	1.546
1400	2.3293
1401	2.1805
1402	2.4226
1403	2.5599
1404	2.9644
1405	3.2617
1406	3.8371
1407	4.1127
1408	4.1333
1409	2.8228
1410	1.8929
1411	1.5476
1412	1.1498
1413	2.0011
1414	2.5282
1415	3.1055
1416	4.7819
1417	3.8809
1418	4.3407
1419	5.2038
1420	5.9543
1421	6.9151
1422	7.5201
1423	8.7031
1424	9.0314
1425	9.9003
1426	9.6203
1427	10.18
1428	11.035
1429	11.256
1430	12.089
1431	12.236
1432	12.907
1433	12.658
1434	12.785
1435	13.312
1436	13.574
1437	13.466
1438	13.818
1439	13.696
1440	13.154
1441	13.825
1442	13.914
1443	13.842
1444	13.897
1445	13.713
1446	13.811
1447	13.648
1448	13.688
1449	12.477
1450	12.769
1451	12.94
1452	13.065
1453	13.56
1454	13.423
1455	13.15
1456	13.314
1457	13.029
1458	13.461
1459	12.666
1460	11.922
1461	12.063
1462	11.694
1463	11.78
1464	11.344
1465	11.53
1466	10.831
1467	11.018
1468	10.691
1469	10.011
1470	9.835
1471	9.529
1472	9.6859
1473	9.3823
1474	9.036
1475	9.2165
1476	8.8508
1477	8.5855
1478	8.1725
1479	8.3204
1480	7.9595
1481	7.7224
1482	7.4698
1483	5.4179
1484	6.3265
1485	6.6212
1486	6.8475
1487	7.2101
1488	7.65
1489	7.8165
1490	8.2415
1491	8.1121
1492	9.1374
1493	9.4924
1494	9.6643
1495	10.512
1496	10.872
1497	10.74
1498	11.152
1499	11.001
1500	11.482
1501	11.343
1502	11.906
1503	11.661
1504	12.326
1505	13.145
1506	13.659
1507	13.712
1508	13.938
1509	13.488
1510	13.489
1511	13.676
1512	13.881
1513	14.521
1514	15.084
1515	15.428
1516	15.46
1517	15.719
1518	15.803
1519	15.773
1520	15.854
1521	15.888
1522	15.931
1523	16.009
1524	16.119
1525	16.054
1526	16.146
1527	16.17
1528	16.168
1529	16.173
1530	16.133
1531	16.1
1532	16.011
