Node Number	Equivalent (von-Mises) Stress (MPa)
351	19.022
352	19.023
353	19.022
354	19.02
355	19.021
356	19.021
357	19.019
358	19.021
359	19.021
360	19.021
361	19.023
362	19.024
363	19.024
364	19.027
365	19.029
366	19.03
367	19.034
368	19.037
369	19.039
370	19.044
371	19.048
372	19.052
373	19.058
374	19.063
375	19.068
376	19.075
377	19.082
378	19.088
379	19.097
380	19.105
381	19.113
382	19.123
383	19.133
384	19.142
385	19.154
386	19.165
387	19.176
388	19.189
389	19.202
390	19.214
391	19.229
392	19.243
393	19.257
394	19.272
395	19.288
396	19.302
397	19.319
398	19.335
399	19.35
400	19.367
401	19.384
402	19.399
403	19.416
404	19.432
405	19.447
406	19.463
407	19.478
408	19.492
409	19.506
410	19.519
411	19.531
412	19.542
413	19.552
414	19.56
415	19.567
416	19.572
417	19.575
418	19.577
419	19.576
420	19.572
421	19.566
422	19.557
423	19.544
424	19.529
425	19.509
426	19.486
427	19.459
428	19.426
429	19.388
430	19.346
431	19.298
432	19.243
433	19.183
434	19.115
435	19.039
436	18.956
437	18.865
438	18.764
439	18.654
440	18.533
441	18.402
442	18.26
443	18.105
444	17.936
445	17.755
446	17.559
447	17.348
448	17.121
449	16.878
450	16.616
451	16.338
452	16.04
453	15.722
454	15.386
455	65.376
456	14.655
457	14.26
458	13.847
459	13.419
460	12.976
461	12.524
462	12.066
463	11.612
464	11.169
465	10.752
466	10.375
467	10.063
468	9.8347
469	9.7209
470	9.7439
471	9.9397
472	10.314
473	10.882
474	11.63
475	12.569
476	13.67
477	14.913
478	16.291
479	17.789
480	19.434
481	21.26
482	23.643
483	26.974
484	36.37
485	14.381
486	13.845
487	13.274
488	12.675
489	12.049
490	11.401
491	10.725
492	10.038
493	9.3416
494	8.6471
495	7.9754
496	7.3567
497	6.8301
498	6.442
499	6.2647
500	6.3467
501	6.7219
502	7.3647
503	8.2759
504	9.3833
505	10.663
506	12.08
507	13.605
508	15.219
509	16.918
510	18.726
511	20.671
512	23.175
513	26.599
514	36.376
515	19.175
516	19.38
517	19.486
518	19.595
519	19.6
520	19.627
521	19.627
522	19.567
523	19.475
524	19.414
525	19.272
526	19.116
527	18.964
528	18.819
529	18.606
530	18.374
531	18.115
532	17.834
533	17.535
534	17.214
535	16.858
536	16.485
537	16.081
538	15.668
539	15.252
540	14.83
541	6.0517
542	18.983
543	18.759
544	18.702
545	18.741
546	18.594
547	18.553
548	18.536
549	18.317
550	18.258
551	18.18
552	17.864
553	17.806
554	17.689
555	17.3
556	17.276
557	17.043
558	16.634
559	16.615
560	16.091
561	15.937
562	15.859
563	15.29
564	15.232
565	14.994
566	14.424
567	14.394
568	14.061
569	13.526
570	13.485
571	13.133
572	12.551
573	12.755
574	12.103
575	11.694
576	11.634
577	11.002
578	10.602
579	10.668
580	10.121
581	10.168
582	9.6172
583	9.1381
584	9.6013
585	8.8057
586	8.8338
587	8.6687
588	8.4037
589	7.5067
590	8.4375
591	6.8023
592	6.9503
593	7.8612
594	5.6395
595	6.2281
596	6.0148
597	3.714
598	6.7124
599	7.5026
600	5.1621
601	5.7943
602	5.394
603	5.7463
604	4.8298
605	4.7321
606	5.6351
607	4.912
608	26.29
609	15.011
610	23.162
611	28.725
612	1.1824
613	19.252
614	12.085
615	10.373
616	6.3749
617	10.713
618	10.207
619	4.8496
620	6.5034
621	6.7905
622	6.3913
623	6.168
624	5.7748
625	5.2842
626	4.9212
627	4.4949
628	4.0297
629	3.6885
630	3.3195
631	2.9315
632	2.6524
633	2.3554
634	2.0436
635	1.8246
636	1.5914
637	1.3382
638	1.1413
639	0.91451
640	0.67276
641	0.48323
642	0.2854
643	7.8297e-002
644	9.8376e-002
645	0.25573
646	0.42893
647	0.58364
648	0.71159
649	0.85841
650	0.98601
651	1.0881
652	1.2074
653	1.3084
654	1.3851
655	1.4779
656	1.5563
657	1.6101
658	1.6817
659	1.7396
660	1.78
661	1.8379
662	1.8946
663	1.9356
664	1.9851
665	2.0312
666	2.0614
667	2.0975
668	2.1311
669	2.1498
670	2.1738
671	2.1948
672	2.2008
673	2.2138
674	2.2246
675	2.2188
676	2.2219
677	2.2223
678	2.2096
679	2.2106
680	2.2137
681	2.2068
682	2.2084
683	2.2088
684	2.2001
685	2.1958
686	2.1924
687	2.1764
688	2.1652
689	2.154
690	2.1286
691	2.1079
692	2.0884
693	2.052
694	2.0221
695	2.0047
696	1.985
697	1.9599
698	1.943
699	1.9211
700	1.8912
701	1.8682
702	1.8383
703	1.796
704	1.7634
705	1.7203
706	1.6636
707	1.6163
708	1.5616
709	1.5074
710	1.4669
711	1.4247
712	1.3764
713	1.3329
714	1.2844
715	1.2254
716	1.1713
717	1.1074
718	1.0317
719	0.95452
720	0.87571
721	0.77518
722	0.68534
723	0.60485
724	0.52225
725	0.45641
726	0.46087
727	0.97464
728	3.4426
729	0.11189
730	0.89614
731	1.5698
732	2.1492
733	2.626
734	3.047
735	4.705
736	4.4119
737	4.114
738	3.8043
739	3.5215
740	3.3436
741	3.3426
742	3.5349
743	3.8674
744	4.2678
745	4.6635
746	5.0166
747	5.3098
748	5.526
749	5.6741
750	5.754
751	5.779
752	5.7493
753	5.682
754	5.5756
755	5.4436
756	5.2863
757	5.1142
758	4.9307
759	4.7385
760	4.542
761	4.345
762	4.1502
763	3.9606
764	3.7784
765	3.6056
766	3.444
767	3.2952
768	3.1602
769	3.0401
770	2.9347
771	2.8441
772	2.7691
773	2.707
774	2.6593
775	2.6229
776	2.5969
777	2.58
778	2.571
779	2.5679
780	2.57
781	2.5755
782	2.5833
783	2.5928
784	2.6033
785	2.6138
786	2.6244
787	2.6346
788	2.6445
789	2.6532
790	2.6621
791	2.6699
792	2.6769
793	2.6823
794	2.6881
795	2.6921
796	2.6948
797	2.6957
798	2.6959
799	2.6942
800	2.6906
801	2.6849
802	2.6781
803	2.6691
804	2.6582
805	2.6457
806	2.6321
807	2.6169
808	2.6007
809	2.5833
810	2.5649
811	2.5452
812	2.5251
813	2.5035
814	2.4813
815	2.4566
816	2.4326
817	2.4065
818	2.3793
819	2.3509
820	2.3227
821	2.2936
822	2.2644
823	2.2353
824	2.2071
825	2.1795
826	2.1533
827	2.1283
828	2.1062
829	2.0856
830	2.0681
831	2.0533
832	2.0421
833	2.036
834	2.034
835	2.0383
836	2.0485
837	2.0655
838	2.0897
839	2.1228
840	2.1633
841	2.2131
842	2.2715
843	2.339
844	2.4171
845	2.5053
846	2.6051
847	2.7178
848	2.8446
849	2.9809
850	3.1235
851	3.2774
852	1.2871
853	3.341
854	4.7024
855	8.0777
856	14.971
857	15.448
858	16.326
859	16.179
860	1.7946
861	1.7492
862	2.2721
863	4.7729
864	6.2193
865	6.6217
866	7.0396
867	7.3958
868	8.0708
869	8.8705
870	9.4972
871	9.7972
872	10.828
873	11.431
874	11.704
875	12.501
876	13.259
877	13.599
878	14.763
879	15.425
880	15.849
881	16.029
882	16.712
883	16.928
884	3.3063
885	1.2108
886	3.0036
887	1.6582
888	2.7278
889	3.7356
890	3.2415
891	4.6336
892	5.0417
893	6.1658
894	6.9126
895	6.5458
896	7.5748
897	8.1536
898	8.78
899	9.3844
900	9.0942
901	10.017
902	9.6965
903	10.628
904	11.227
905	11.742
906	11.482
907	12.012
908	12.355
909	13.328
910	13.015
911	13.904
912	13.647
913	14.403
914	14.735
915	14.587
916	14.912
917	15.631
918	15.431
919	15.951
920	15.794
921	16.246
922	16.508
923	16.371
924	16.748
925	16.637
926	17.009
927	3.1026
928	5.0893
929	4.9509
930	4.9201
931	4.4184
932	2.5968
933	2.084
934	3.0358
935	4.5445
936	4.8943
937	5.23
938	6.2249
939	6.5351
940	6.7882
941	7.0419
942	7.2919
943	7.5504
944	8.1356
945	8.3933
946	8.6109
947	8.7628
948	9.024
949	9.5974
950	10.154
951	10.629
952	10.894
953	11.127
954	11.647
955	11.92
956	12.184
957	12.736
958	13.588
959	13.81
960	14.255
961	14.643
962	15.129
963	15.78
964	16.138
965	16.387
966	16.468
967	16.593
968	16.723
969	16.857
970	17.082
971	17.269
972	17.368
973	17.35
974	2.2482
975	2.9628
976	0.97071
977	1.4345
978	1.2314
979	1.3375
980	1.06
981	1.1611
982	1.0277
983	1.0385
984	0.90869
985	0.95646
986	0.82433
987	0.87913
988	0.81506
989	0.83208
990	0.79204
991	0.77974
992	0.77763
993	0.74636
994	0.77481
995	0.73595
996	0.78426
997	0.78935
998	0.78747
999	0.77821
1000	0.80111
1001	0.8041
1002	0.8456
1003	0.84427
1004	0.8674
1005	0.92568
1006	0.9288
1007	0.96442
1008	0.95327
1009	0.98877
1010	0.98971
1011	1.0443
1012	1.041
1013	1.0712
1014	1.0916
1015	1.0811
1016	1.094
1017	1.1281
1018	1.1647
1019	1.1305
1020	1.1242
1021	1.1573
1022	1.1566
1023	1.1459
1024	1.1657
1025	1.1593
1026	1.1777
1027	1.1803
1028	1.2348
1029	1.2183
1030	1.2522
1031	1.258
1032	1.2732
1033	1.2893
1034	1.2965
1035	1.3223
1036	1.3469
1037	1.3822
1038	1.3681
