Node Number	Thermal Strain (mm/mm)
457	9.1909e-003
458	9.1909e-003
459	9.1909e-003
460	9.1909e-003
461	9.1909e-003
462	9.1909e-003
463	9.1908e-003
464	9.1908e-003
465	9.1908e-003
466	9.1908e-003
467	9.1908e-003
468	9.1908e-003
469	9.1908e-003
470	9.1908e-003
471	9.1908e-003
472	9.1908e-003
473	9.1908e-003
474	9.1908e-003
475	9.1908e-003
476	9.1908e-003
477	9.1908e-003
478	9.1908e-003
479	9.1908e-003
480	9.1908e-003
481	9.1909e-003
482	9.1909e-003
483	9.1909e-003
484	9.1909e-003
485	9.1939e-003
486	9.1938e-003
487	9.1937e-003
488	9.1936e-003
489	9.1935e-003
490	9.1934e-003
491	9.1933e-003
492	9.1932e-003
493	9.1931e-003
494	9.193e-003
495	9.1929e-003
496	9.1928e-003
497	9.1927e-003
498	9.1926e-003
499	9.1925e-003
500	9.1924e-003
501	9.1923e-003
502	9.1922e-003
503	9.1921e-003
504	9.192e-003
505	9.1918e-003
506	9.1917e-003
507	9.1916e-003
508	9.1915e-003
509	9.1914e-003
510	9.1913e-003
511	9.1912e-003
512	9.1912e-003
513	9.1911e-003
514	9.191e-003
515	9.2037e-003
516	9.2023e-003
517	9.2014e-003
518	9.2003e-003
519	9.1998e-003
520	9.1991e-003
521	9.1984e-003
522	9.198e-003
523	9.1977e-003
524	9.197e-003
525	9.1968e-003
526	9.1966e-003
527	9.1963e-003
528	9.1958e-003
529	9.1956e-003
530	9.1954e-003
531	9.1952e-003
532	9.1951e-003
533	9.1949e-003
534	9.1947e-003
535	9.1946e-003
536	9.1944e-003
537	9.1943e-003
538	9.1942e-003
539	9.1941e-003
540	9.194e-003
541	9.2324e-003
542	9.205e-003
543	9.2063e-003
544	9.2066e-003
545	9.2062e-003
546	9.2068e-003
547	9.2067e-003
548	9.2065e-003
549	9.2073e-003
550	9.207e-003
551	9.2069e-003
552	9.2081e-003
553	9.2076e-003
554	9.2074e-003
555	9.2088e-003
556	9.2078e-003
557	9.2081e-003
558	9.2095e-003
559	9.2083e-003
560	9.2102e-003
561	9.2096e-003
562	9.2088e-003
563	9.2107e-003
564	9.2094e-003
565	9.2093e-003
566	9.2113e-003
567	9.2097e-003
568	9.21e-003
569	9.2116e-003
570	9.2101e-003
571	9.2103e-003
572	9.2121e-003
573	9.2091e-003
574	9.2109e-003
575	9.2115e-003
576	9.2106e-003
577	9.2123e-003
578	9.2124e-003
579	9.2102e-003
580	9.2124e-003
581	9.2094e-003
582	9.2107e-003
583	9.2129e-003
584	9.2074e-003
585	9.2102e-003
586	9.2087e-003
587	9.2084e-003
588	9.2076e-003
589	9.2112e-003
590	9.2039e-003
591	9.2131e-003
592	9.2098e-003
593	9.2024e-003
594	9.2158e-003
595	9.2105e-003
596	9.21e-003
597	9.226e-003
598	9.2024e-003
599	9.1957e-003
600	9.213e-003
601	9.2034e-003
602	9.2095e-003
603	9.2067e-003
604	9.2063e-003
605	9.214e-003
606	9.2165e-003
607	9.2149e-003
608	9.3574e-003
609	9.2928e-003
610	9.3424e-003
611	9.3754e-003
612	9.0656e-003
613	9.3098e-003
614	9.2584e-003
615	9.248e-003
616	9.2264e-003
617	9.2507e-003
618	9.2197e-003
619	9.1841e-003
620	9.1459e-003
621	9.1393e-003
622	9.1355e-003
623	9.1312e-003
624	9.1281e-003
625	9.1259e-003
626	9.1232e-003
627	9.1211e-003
628	9.1196e-003
629	9.1176e-003
630	9.1159e-003
631	9.1147e-003
632	9.113e-003
633	9.1116e-003
634	9.1106e-003
635	9.1091e-003
636	9.1078e-003
637	9.1068e-003
638	9.1055e-003
639	9.1046e-003
640	9.1039e-003
641	9.1029e-003
642	9.102e-003
643	9.1014e-003
644	9.1005e-003
645	9.0996e-003
646	9.0989e-003
647	9.0981e-003
648	9.0972e-003
649	9.0966e-003
650	9.0958e-003
651	9.0949e-003
652	9.0942e-003
653	9.0934e-003
654	9.0924e-003
655	9.0917e-003
656	9.0908e-003
657	9.0898e-003
658	9.089e-003
659	9.0881e-003
660	9.087e-003
661	9.0863e-003
662	9.0856e-003
663	9.0849e-003
664	9.0844e-003
665	9.0838e-003
666	9.0831e-003
667	9.0826e-003
668	9.082e-003
669	9.0813e-003
670	9.0807e-003
671	9.0801e-003
672	9.0794e-003
673	9.0787e-003
674	9.0782e-003
675	9.0774e-003
676	9.0766e-003
677	9.076e-003
678	9.0752e-003
679	9.0746e-003
680	9.0742e-003
681	9.0737e-003
682	9.0732e-003
683	9.0729e-003
684	9.0724e-003
685	9.0719e-003
686	9.0716e-003
687	9.0711e-003
688	9.0706e-003
689	9.0702e-003
690	9.0696e-003
691	9.0691e-003
692	9.0686e-003
693	9.068e-003
694	9.0674e-003
695	9.0671e-003
696	9.0668e-003
697	9.0664e-003
698	9.0662e-003
699	9.0659e-003
700	9.0656e-003
701	9.0653e-003
702	9.065e-003
703	9.0646e-003
704	9.0644e-003
705	9.064e-003
706	9.0635e-003
707	9.0632e-003
708	9.0628e-003
709	9.0625e-003
710	9.0623e-003
711	9.0621e-003
712	9.0619e-003
713	9.0618e-003
714	9.0616e-003
715	9.0614e-003
716	9.0612e-003
717	9.061e-003
718	9.0608e-003
719	9.0605e-003
720	9.0603e-003
721	9.06e-003
722	9.0598e-003
723	9.0597e-003
724	9.0596e-003
725	9.0596e-003
726	9.06e-003
727	9.0637e-003
728	9.0348e-003
729	9.0577e-003
730	9.0527e-003
731	9.0483e-003
732	9.0443e-003
733	9.0409e-003
734	9.0378e-003
735	9.1989e-003
736	9.1957e-003
737	9.1913e-003
738	9.1857e-003
739	9.1791e-003
740	9.1719e-003
741	9.1642e-003
742	9.1565e-003
743	9.1489e-003
744	9.1416e-003
745	9.1349e-003
746	9.1288e-003
747	9.1232e-003
748	9.1182e-003
749	9.1138e-003
750	9.1098e-003
751	9.1063e-003
752	9.1031e-003
753	9.1003e-003
754	9.0977e-003
755	9.0954e-003
756	9.0933e-003
757	9.0914e-003
758	9.0897e-003
759	9.0881e-003
760	9.0866e-003
761	9.0852e-003
762	9.0839e-003
763	9.0827e-003
764	9.0816e-003
765	9.0805e-003
766	9.0795e-003
767	9.0785e-003
768	9.0775e-003
769	9.0766e-003
770	9.0757e-003
771	9.0748e-003
772	9.074e-003
773	9.0731e-003
774	9.0723e-003
775	9.0714e-003
776	9.0706e-003
777	9.0698e-003
778	9.069e-003
779	9.0682e-003
780	9.0674e-003
781	9.0666e-003
782	9.0659e-003
783	9.0651e-003
784	9.0644e-003
785	9.0637e-003
786	9.063e-003
787	9.0623e-003
788	9.0616e-003
789	9.061e-003
790	9.0603e-003
791	9.0597e-003
792	9.059e-003
793	9.0584e-003
794	9.0578e-003
795	9.0572e-003
796	9.0565e-003
797	9.0559e-003
798	9.0553e-003
799	9.0548e-003
800	9.0542e-003
801	9.0536e-003
802	9.0531e-003
803	9.0526e-003
804	9.052e-003
805	9.0515e-003
806	9.0511e-003
807	9.0506e-003
808	9.0501e-003
809	9.0496e-003
810	9.0492e-003
811	9.0487e-003
812	9.0483e-003
813	9.0478e-003
814	9.0474e-003
815	9.047e-003
816	9.0466e-003
817	9.0462e-003
818	9.0458e-003
819	9.0454e-003
820	9.0451e-003
821	9.0447e-003
822	9.0444e-003
823	9.044e-003
824	9.0437e-003
825	9.0434e-003
826	9.0431e-003
827	9.0428e-003
828	9.0425e-003
829	9.0422e-003
830	9.0419e-003
831	9.0416e-003
832	9.0413e-003
833	9.0411e-003
834	9.0408e-003
835	9.0406e-003
836	9.0404e-003
837	9.0401e-003
838	9.0399e-003
839	9.0396e-003
840	9.0394e-003
841	9.0392e-003
842	9.0389e-003
843	9.0387e-003
844	9.0384e-003
845	9.0381e-003
846	9.0378e-003
847	9.0374e-003
848	9.037e-003
849	9.0365e-003
850	9.036e-003
851	9.0354e-003
852	9.2142e-003
853	9.208e-003
854	9.2048e-003
855	9.2004e-003
856	9.1976e-003
857	9.1966e-003
858	9.1956e-003
859	9.196e-003
860	9.2209e-003
861	9.215e-003
862	9.2123e-003
863	9.2061e-003
864	9.2032e-003
865	9.203e-003
866	9.2025e-003
867	9.2018e-003
868	9.2021e-003
869	9.2009e-003
870	9.2009e-003
871	9.201e-003
872	9.201e-003
873	9.2003e-003
874	9.2001e-003
875	9.1996e-003
876	9.2e-003
877	9.1996e-003
878	9.1981e-003
879	9.1986e-003
880	9.1972e-003
881	9.1965e-003
882	9.1943e-003
883	9.1926e-003
884	9.2257e-003
885	9.216e-003
886	9.2209e-003
887	9.2121e-003
888	9.2083e-003
889	9.2053e-003
890	9.2066e-003
891	9.2034e-003
892	9.2027e-003
893	9.2015e-003
894	9.2007e-003
895	9.2012e-003
896	9.1994e-003
897	9.1989e-003
898	9.199e-003
899	9.1988e-003
900	9.199e-003
901	9.1991e-003
902	9.1989e-003
903	9.1986e-003
904	9.1981e-003
905	9.1977e-003
906	9.198e-003
907	9.1973e-003
908	9.1975e-003
909	9.1973e-003
910	9.1976e-003
911	9.1967e-003
912	9.1972e-003
913	9.196e-003
914	9.1949e-003
915	9.1955e-003
916	9.1946e-003
917	9.1944e-003
918	9.1947e-003
919	9.1935e-003
920	9.1939e-003
921	9.1926e-003
922	9.1915e-003
923	9.1921e-003
924	9.1899e-003
925	9.1908e-003
926	9.1914e-003
927	9.218e-003
928	9.2303e-003
929	9.2329e-003
930	9.2354e-003
931	9.2344e-003
932	9.2254e-003
933	9.2172e-003
934	9.2117e-003
935	9.2078e-003
936	9.2072e-003
937	9.2068e-003
938	9.2047e-003
939	9.2046e-003
940	9.2044e-003
941	9.2041e-003
942	9.2038e-003
943	9.2035e-003
944	9.2036e-003
945	9.2038e-003
946	9.2036e-003
947	9.203e-003
948	9.2029e-003
949	9.203e-003
950	9.2032e-003
951	9.203e-003
952	9.2031e-003
953	9.203e-003
954	9.2024e-003
955	9.2022e-003
956	9.202e-003
957	9.2018e-003
958	9.202e-003
959	9.2019e-003
960	9.2017e-003
961	9.201e-003
962	9.2003e-003
963	9.2007e-003
964	9.1997e-003
965	9.1994e-003
966	9.1985e-003
967	9.1981e-003
968	9.1977e-003
969	9.1974e-003
970	9.1965e-003
971	9.1946e-003
972	9.1935e-003
973	9.1918e-003
974	9.2184e-003
975	9.1731e-003
976	9.0499e-003
977	9.0466e-003
978	9.0473e-003
979	9.0469e-003
980	9.048e-003
981	9.0475e-003
982	9.048e-003
983	9.048e-003
984	9.0487e-003
985	9.0484e-003
986	9.0494e-003
987	9.049e-003
988	9.0497e-003
989	9.0494e-003
990	9.0501e-003
991	9.0501e-003
992	9.0507e-003
993	9.0514e-003
994	9.051e-003
995	9.0521e-003
996	9.0515e-003
997	9.0525e-003
998	9.0521e-003
999	9.0533e-003
1000	9.0528e-003
1001	9.054e-003
1002	9.0547e-003
1003	9.0542e-003
1004	9.0555e-003
1005	9.0562e-003
1006	9.0572e-003
1007	9.0565e-003
1008	9.0581e-003
1009	9.0591e-003
1010	9.0585e-003
1011	9.0599e-003
1012	9.0593e-003
1013	9.0609e-003
1014	9.0601e-003
1015	9.062e-003
1016	9.0613e-003
1017	9.063e-003
1018	9.064e-003
1019	9.0636e-003
1020	9.0655e-003
1021	9.0666e-003
1022	9.066e-003
1023	9.0681e-003
1024	9.0672e-003
1025	9.0694e-003
1026	9.0685e-003
1027	9.0707e-003
1028	9.0718e-003
1029	9.0711e-003
1030	9.0732e-003
1031	9.0724e-003
1032	9.0747e-003
1033	9.0737e-003
1034	9.0763e-003
1035	9.0752e-003
1036	9.0768e-003
1037	9.0796e-003
